Loading demo data ...
Data: loaded 89160 cached samples from /home/exouser/.cache/autoresearch_trimnn/data_k2.pkl
Demo — Train: 71328  Val: 17832
Loading 16 intestinal samples (VF2 direct supervision) ...
  B004_ascending_ct25: 21,232 nodes, vf2_zero=1546, vf2_nonzero=1379, vf2_mean(nonzero)=29.7
  B005_ascending_ct24: 17,312 nodes, vf2_zero=1300, vf2_nonzero=1300, vf2_mean(nonzero)=25.3
  B005_descendingSigmoid_ct20: 14,230 nodes, vf2_zero=1169, vf2_nonzero=371, vf2_mean(nonzero)=75.5
  B005_duodenum_ct25: 23,558 nodes, vf2_zero=1273, vf2_nonzero=1652, vf2_mean(nonzero)=27.3
  B005_ileum_ct25: 17,670 nodes, vf2_zero=1748, vf2_nonzero=1177, vf2_mean(nonzero)=28.5
  B006_descendingSigmoid_ct23: 24,585 nodes, vf2_zero=1075, vf2_nonzero=1225, vf2_mean(nonzero)=37.8
  B006_descending_ct24: 20,379 nodes, vf2_zero=1357, vf2_nonzero=1243, vf2_mean(nonzero)=31.7
  B008_ascending_ct22: 5,829 nodes, vf2_zero=1541, vf2_nonzero=483, vf2_mean(nonzero)=23.5
  B008_transverse_ct23: 22,279 nodes, vf2_zero=1465, vf2_nonzero=835, vf2_mean(nonzero)=52.1
  B010_ascending_ct25: 22,961 nodes, vf2_zero=1830, vf2_nonzero=1095, vf2_mean(nonzero)=40.1
  B010_descendingSigmoid_ct24: 24,158 nodes, vf2_zero=1066, vf2_nonzero=1534, vf2_mean(nonzero)=30.0
  B010_descending_ct24: 19,612 nodes, vf2_zero=1388, vf2_nonzero=1212, vf2_mean(nonzero)=31.2
  B010_transverse_ct24: 14,924 nodes, vf2_zero=1458, vf2_nonzero=1142, vf2_mean(nonzero)=24.9
  B011_ascending_ct24: 20,382 nodes, vf2_zero=1278, vf2_nonzero=1322, vf2_mean(nonzero)=29.5
  B011_descendingSigmoid_ct24: 21,201 nodes, vf2_zero=1413, vf2_nonzero=1187, vf2_mean(nonzero)=34.5
  B011_descending_ct24: 20,504 nodes, vf2_zero=1236, vf2_nonzero=1364, vf2_mean(nonzero)=28.4
Loaded 16 samples (310,816 nodes total) in 9.6s
Loading B004_ascending (benchmark eval data) ...
  B004_ascending: 21,232 nodes, 2,925 patterns
Parameters: 302,209

step 00000 (0.0%) | loss: 15.0503 | dt: 1596ms | remaining: 300s   
step 00001 (0.0%) | loss: 15.0284 | dt: 490ms | remaining: 300s   
step 00002 (0.0%) | loss: 14.9911 | dt: 357ms | remaining: 300s   
step 00003 (0.0%) | loss: 14.7326 | dt: 243ms | remaining: 300s   
step 00004 (0.0%) | loss: 14.3562 | dt: 244ms | remaining: 300s   
step 00005 (0.1%) | loss: 13.8455 | dt: 345ms | remaining: 300s   
step 00006 (0.2%) | loss: 13.2842 | dt: 287ms | remaining: 299s   
step 00007 (0.3%) | loss: 12.6913 | dt: 245ms | remaining: 299s   
step 00008 (0.4%) | loss: 12.1022 | dt: 303ms | remaining: 299s   
step 00009 (0.5%) | loss: 11.5407 | dt: 398ms | remaining: 298s   
step 00010 (0.6%) | loss: 11.0093 | dt: 235ms | remaining: 298s   
step 00011 (0.7%) | loss: 10.5161 | dt: 254ms | remaining: 298s   
step 00012 (0.8%) | loss: 10.0358 | dt: 364ms | remaining: 298s   
step 00013 (0.9%) | loss: 9.5817 | dt: 320ms | remaining: 297s   
step 00014 (1.0%) | loss: 9.1314 | dt: 237ms | remaining: 297s   
step 00015 (1.1%) | loss: 8.7061 | dt: 377ms | remaining: 297s   
step 00016 (1.2%) | loss: 8.2944 | dt: 294ms | remaining: 296s   
step 00017 (1.3%) | loss: 7.9049 | dt: 239ms | remaining: 296s   
step 00018 (1.4%) | loss: 7.5429 | dt: 325ms | remaining: 296s   
step 00019 (1.5%) | loss: 7.2097 | dt: 423ms | remaining: 295s   
step 00020 (1.7%) | loss: 6.8749 | dt: 305ms | remaining: 295s   
step 00021 (1.7%) | loss: 6.5597 | dt: 233ms | remaining: 295s   
step 00022 (1.8%) | loss: 6.2543 | dt: 359ms | remaining: 294s   
step 00023 (2.0%) | loss: 5.9670 | dt: 436ms | remaining: 294s   
step 00024 (2.1%) | loss: 5.6914 | dt: 290ms | remaining: 294s   
step 00276 (33.2%) | loss: 0.2938 | dt: 373ms | remaining: 200s   
step 00277 (33.3%) | loss: 0.2945 | dt: 325ms | remaining: 200s   
step 00278 (33.4%) | loss: 0.2926 | dt: 297ms | remaining: 200s   
step 00279 (33.5%) | loss: 0.2896 | dt: 259ms | remaining: 199s   
step 00280 (33.6%) | loss: 0.2887 | dt: 393ms | remaining: 199s   
step 00281 (33.8%) | loss: 0.2862 | dt: 376ms | remaining: 199s   
step 00282 (33.9%) | loss: 0.2808 | dt: 454ms | remaining: 198s   
step 00283 (34.0%) | loss: 0.2807 | dt: 350ms | remaining: 198s   
step 00284 (34.2%) | loss: 0.2782 | dt: 377ms | remaining: 198s   
step 00285 (34.3%) | loss: 0.2754 | dt: 387ms | remaining: 197s   
step 00286 (34.4%) | loss: 0.2736 | dt: 376ms | remaining: 197s   
step 00287 (34.6%) | loss: 0.2717 | dt: 440ms | remaining: 196s   
step 00288 (34.7%) | loss: 0.2722 | dt: 397ms | remaining: 196s   
step 00289 (34.8%) | loss: 0.2727 | dt: 364ms | remaining: 196s   
step 00290 (34.9%) | loss: 0.2709 | dt: 404ms | remaining: 195s   
step 00291 (35.1%) | loss: 0.2666 | dt: 314ms | remaining: 195s   
step 00292 (35.2%) | loss: 0.2660 | dt: 320ms | remaining: 195s   
step 00293 (35.3%) | loss: 0.2692 | dt: 365ms | remaining: 194s   
step 00294 (35.4%) | loss: 0.2745 | dt: 217ms | remaining: 194s   
step 00295 (35.5%) | loss: 0.2819 | dt: 433ms | remaining: 194s   
step 00296 (35.6%) | loss: 0.2823 | dt: 374ms | remaining: 193s   
step 00297 (35.7%) | loss: 0.2764 | dt: 382ms | remaining: 193s   
step 00298 (35.9%) | loss: 0.2762 | dt: 354ms | remaining: 192s   
step 00299 (36.0%) | loss: 0.2760 | dt: 353ms | remaining: 192s   
step 00300 (36.1%) | loss: 0.2748 | dt: 314ms | remaining: 192s   
step 00301 (36.2%) | loss: 0.2747 | dt: 398ms | remaining: 191s   
step 00302 (36.3%) | loss: 0.2745 | dt: 335ms | remaining: 191s   
step 00303 (36.5%) | loss: 0.2728 | dt: 367ms | remaining: 191s   
step 00304 (36.6%) | loss: 0.2687 | dt: 413ms | remaining: 190s   
step 00305 (36.7%) | loss: 0.2645 | dt: 406ms | remaining: 190s   
step 00306 (36.9%) | loss: 0.2637 | dt: 420ms | remaining: 189s   
step 00307 (37.0%) | loss: 0.2657 | dt: 362ms | remaining: 189s   
step 00308 (37.1%) | loss: 0.2620 | dt: 351ms | remaining: 189s   
step 00309 (37.3%) | loss: 0.2582 | dt: 458ms | remaining: 188s   
step 00310 (37.4%) | loss: 0.2572 | dt: 327ms | remaining: 188s   
step 00311 (37.5%) | loss: 0.2560 | dt: 359ms | remaining: 188s   
step 00312 (37.6%) | loss: 0.2572 | dt: 277ms | remaining: 187s   
step 00313 (37.7%) | loss: 0.2594 | dt: 399ms | remaining: 187s   
step 00314 (37.8%) | loss: 0.2676 | dt: 365ms | remaining: 187s   
step 00315 (38.0%) | loss: 0.2639 | dt: 383ms | remaining: 186s   
step 00316 (38.1%) | loss: 0.2600 | dt: 382ms | remaining: 186s   
step 00317 (38.2%) | loss: 0.2589 | dt: 326ms | remaining: 185s   
step 00318 (38.3%) | loss: 0.2601 | dt: 324ms | remaining: 185s   
step 00319 (38.4%) | loss: 0.2637 | dt: 395ms | remaining: 185s   
step 00320 (38.5%) | loss: 0.2596 | dt: 341ms | remaining: 184s   
step 00321 (38.7%) | loss: 0.2556 | dt: 376ms | remaining: 184s   
step 00322 (38.8%) | loss: 0.2557 | dt: 341ms | remaining: 184s   
step 00323 (38.9%) | loss: 0.2519 | dt: 441ms | remaining: 183s   
step 00324 (39.1%) | loss: 0.2494 | dt: 389ms | remaining: 183s   
step 00325 (39.2%) | loss: 0.2526 | dt: 376ms | remaining: 182s   
step 00326 (39.3%) | loss: 0.2509 | dt: 376ms | remaining: 182s   
step 00327 (39.4%) | loss: 0.2620 | dt: 288ms | remaining: 182s   
step 00328 (39.5%) | loss: 0.2605 | dt: 410ms | remaining: 181s   
step 00329 (39.7%) | loss: 0.2566 | dt: 409ms | remaining: 181s   
step 00330 (39.8%) | loss: 0.2536 | dt: 325ms | remaining: 181s   
step 00331 (39.9%) | loss: 0.2551 | dt: 343ms | remaining: 180s   
step 00332 (40.0%) | loss: 0.2567 | dt: 274ms | remaining: 180s   
step 00333 (40.1%) | loss: 0.2553 | dt: 353ms | remaining: 180s   
step 00334 (40.3%) | loss: 0.2510 | dt: 418ms | remaining: 179s   
step 00335 (40.4%) | loss: 0.2555 | dt: 368ms | remaining: 179s   
step 00336 (40.5%) | loss: 0.2555 | dt: 411ms | remaining: 178s   
step 00337 (40.6%) | loss: 0.2549 | dt: 343ms | remaining: 178s   
step 00338 (40.8%) | loss: 0.2535 | dt: 382ms | remaining: 178s   
step 00339 (40.9%) | loss: 0.2652 | dt: 361ms | remaining: 177s   
step 00340 (41.0%) | loss: 0.2648 | dt: 385ms | remaining: 177s   
step 00341 (41.1%) | loss: 0.2649 | dt: 354ms | remaining: 177s   
step 00342 (41.2%) | loss: 0.2632 | dt: 267ms | remaining: 176s   
step 00343 (41.4%) | loss: 0.2591 | dt: 428ms | remaining: 176s   
step 00344 (41.5%) | loss: 0.2577 | dt: 387ms | remaining: 176s   
step 00345 (41.6%) | loss: 0.2532 | dt: 309ms | remaining: 175s   
step 00346 (41.7%) | loss: 0.2592 | dt: 341ms | remaining: 175s   
step 00347 (41.8%) | loss: 0.2587 | dt: 335ms | remaining: 175s   
step 00348 (41.9%) | loss: 0.2550 | dt: 368ms | remaining: 174s   
step 00349 (42.1%) | loss: 0.2545 | dt: 382ms | remaining: 174s   
step 00350 (42.2%) | loss: 0.2503 | dt: 400ms | remaining: 173s   
step 00351 (42.4%) | loss: 0.2486 | dt: 537ms | remaining: 173s   
step 00352 (42.5%) | loss: 0.2492 | dt: 354ms | remaining: 173s   
step 00353 (42.6%) | loss: 0.2497 | dt: 314ms | remaining: 172s   
step 00354 (42.7%) | loss: 0.2514 | dt: 424ms | remaining: 172s   
step 00355 (42.9%) | loss: 0.2485 | dt: 394ms | remaining: 171s   
step 00356 (43.0%) | loss: 0.2479 | dt: 394ms | remaining: 171s   
step 00357 (43.1%) | loss: 0.2433 | dt: 377ms | remaining: 171s   
step 00358 (43.2%) | loss: 0.2420 | dt: 357ms | remaining: 170s   
step 00359 (43.4%) | loss: 0.2388 | dt: 375ms | remaining: 170s   
step 00360 (43.5%) | loss: 0.2415 | dt: 293ms | remaining: 170s   
step 00361 (43.6%) | loss: 0.2398 | dt: 419ms | remaining: 169s   
step 00362 (43.7%) | loss: 0.2374 | dt: 426ms | remaining: 169s   
step 00363 (43.9%) | loss: 0.2371 | dt: 338ms | remaining: 168s   
step 00364 (44.0%) | loss: 0.2361 | dt: 360ms | remaining: 168s   
step 00365 (44.1%) | loss: 0.2395 | dt: 347ms | remaining: 168s   
step 00366 (44.2%) | loss: 0.2365 | dt: 420ms | remaining: 167s   
step 00367 (44.3%) | loss: 0.2331 | dt: 331ms | remaining: 167s   
step 00368 (44.5%) | loss: 0.2311 | dt: 388ms | remaining: 167s   
step 00369 (44.6%) | loss: 0.2285 | dt: 388ms | remaining: 166s   
step 00370 (44.7%) | loss: 0.2271 | dt: 420ms | remaining: 166s   
step 00371 (44.9%) | loss: 0.2278 | dt: 376ms | remaining: 165s   
step 00372 (45.0%) | loss: 0.2262 | dt: 361ms | remaining: 165s   
step 00373 (45.1%) | loss: 0.2255 | dt: 417ms | remaining: 165s   
step 00374 (45.3%) | loss: 0.2240 | dt: 398ms | remaining: 164s   
step 00375 (45.4%) | loss: 0.2231 | dt: 372ms | remaining: 164s   
step 00376 (45.5%) | loss: 0.2228 | dt: 350ms | remaining: 163s   
step 00377 (45.6%) | loss: 0.2218 | dt: 415ms | remaining: 163s   
step 00378 (45.8%) | loss: 0.2230 | dt: 329ms | remaining: 163s   
step 00379 (45.9%) | loss: 0.2268 | dt: 374ms | remaining: 162s   
step 00380 (46.0%) | loss: 0.2244 | dt: 391ms | remaining: 162s   
step 00381 (46.1%) | loss: 0.2229 | dt: 316ms | remaining: 162s   
step 00382 (46.2%) | loss: 0.2176 | dt: 334ms | remaining: 161s   
step 00383 (46.4%) | loss: 0.2149 | dt: 395ms | remaining: 161s   
step 00384 (46.5%) | loss: 0.2137 | dt: 354ms | remaining: 161s   
step 00385 (46.6%) | loss: 0.2143 | dt: 357ms | remaining: 160s   
step 00386 (46.7%) | loss: 0.2161 | dt: 381ms | remaining: 160s   
step 00387 (46.8%) | loss: 0.2161 | dt: 280ms | remaining: 160s   
step 00388 (47.0%) | loss: 0.2143 | dt: 419ms | remaining: 159s   
step 00389 (47.1%) | loss: 0.2142 | dt: 377ms | remaining: 159s   
step 00390 (47.2%) | loss: 0.2171 | dt: 351ms | remaining: 158s   
step 00391 (47.3%) | loss: 0.2173 | dt: 323ms | remaining: 158s   
step 00392 (47.4%) | loss: 0.2148 | dt: 357ms | remaining: 158s   
step 00393 (47.5%) | loss: 0.2160 | dt: 372ms | remaining: 157s   
step 00394 (47.7%) | loss: 0.2156 | dt: 448ms | remaining: 157s   
step 00395 (47.8%) | loss: 0.2211 | dt: 376ms | remaining: 157s   
step 00396 (47.9%) | loss: 0.2170 | dt: 351ms | remaining: 156s   
step 00397 (48.1%) | loss: 0.2160 | dt: 427ms | remaining: 156s   
step 00398 (48.2%) | loss: 0.2165 | dt: 372ms | remaining: 155s   
step 00399 (48.3%) | loss: 0.2231 | dt: 408ms | remaining: 155s   
step 00400 (48.5%) | loss: 0.2226 | dt: 399ms | remaining: 155s   
step 00401 (48.6%) | loss: 0.2213 | dt: 412ms | remaining: 154s   
step 00402 (48.7%) | loss: 0.2210 | dt: 341ms | remaining: 154s   
step 00403 (48.8%) | loss: 0.2224 | dt: 372ms | remaining: 153s   
step 00404 (49.0%) | loss: 0.2274 | dt: 336ms | remaining: 153s   
step 00405 (49.1%) | loss: 0.2255 | dt: 301ms | remaining: 153s   
step 00406 (49.2%) | loss: 0.2230 | dt: 346ms | remaining: 152s   
step 00407 (49.3%) | loss: 0.2214 | dt: 261ms | remaining: 152s   
step 00408 (49.4%) | loss: 0.2199 | dt: 373ms | remaining: 152s   
step 00409 (49.5%) | loss: 0.2200 | dt: 385ms | remaining: 151s   
step 00410 (49.6%) | loss: 0.2166 | dt: 322ms | remaining: 151s   
step 00411 (49.8%) | loss: 0.2176 | dt: 380ms | remaining: 151s   
step 00412 (49.9%) | loss: 0.2185 | dt: 383ms | remaining: 150s   
step 00413 (50.0%) | loss: 0.2215 | dt: 429ms | remaining: 150s   
step 00414 (50.1%) | loss: 0.2227 | dt: 378ms | remaining: 150s   
step 00415 (50.3%) | loss: 0.2229 | dt: 376ms | remaining: 149s   
step 00416 (50.4%) | loss: 0.2253 | dt: 341ms | remaining: 149s   
step 00417 (50.5%) | loss: 0.2226 | dt: 354ms | remaining: 148s   
step 00418 (50.6%) | loss: 0.2241 | dt: 361ms | remaining: 148s   
step 00419 (50.7%) | loss: 0.2281 | dt: 359ms | remaining: 148s   
step 00420 (50.9%) | loss: 0.2283 | dt: 356ms | remaining: 147s   
step 00421 (51.0%) | loss: 0.2285 | dt: 340ms | remaining: 147s   
step 00422 (51.1%) | loss: 0.2293 | dt: 413ms | remaining: 147s   
step 00423 (51.2%) | loss: 0.2293 | dt: 336ms | remaining: 146s   
step 00424 (51.4%) | loss: 0.2271 | dt: 372ms | remaining: 146s   
step 00425 (51.5%) | loss: 0.2303 | dt: 307ms | remaining: 146s   
step 00426 (51.5%) | loss: 0.2374 | dt: 245ms | remaining: 145s   
step 00427 (51.6%) | loss: 0.2354 | dt: 326ms | remaining: 145s   
step 00428 (51.8%) | loss: 0.2320 | dt: 375ms | remaining: 145s   
step 00429 (51.8%) | loss: 0.2321 | dt: 234ms | remaining: 144s   
step 00430 (52.0%) | loss: 0.2288 | dt: 420ms | remaining: 144s   
step 00431 (52.1%) | loss: 0.2255 | dt: 357ms | remaining: 144s   
step 00432 (52.2%) | loss: 0.2222 | dt: 304ms | remaining: 143s   
step 00433 (52.3%) | loss: 0.2205 | dt: 378ms | remaining: 143s   
step 00434 (52.5%) | loss: 0.2244 | dt: 405ms | remaining: 143s   
step 00435 (52.6%) | loss: 0.2299 | dt: 354ms | remaining: 142s   
step 00436 (52.7%) | loss: 0.2273 | dt: 395ms | remaining: 142s   
step 00437 (52.8%) | loss: 0.2270 | dt: 344ms | remaining: 142s   
step 00438 (52.9%) | loss: 0.2301 | dt: 334ms | remaining: 141s   
step 00439 (53.1%) | loss: 0.2270 | dt: 346ms | remaining: 141s   
step 00440 (53.2%) | loss: 0.2255 | dt: 411ms | remaining: 140s   
step 00441 (53.3%) | loss: 0.2275 | dt: 360ms | remaining: 140s   
step 00442 (53.4%) | loss: 0.2283 | dt: 344ms | remaining: 140s   
step 00443 (53.6%) | loss: 0.2265 | dt: 366ms | remaining: 139s   
step 00444 (53.7%) | loss: 0.2243 | dt: 341ms | remaining: 139s   
step 00445 (53.7%) | loss: 0.2251 | dt: 240ms | remaining: 139s   
step 00446 (53.9%) | loss: 0.2212 | dt: 322ms | remaining: 138s   
step 00447 (54.0%) | loss: 0.2182 | dt: 370ms | remaining: 138s   
step 00448 (54.1%) | loss: 0.2172 | dt: 347ms | remaining: 138s   
step 00449 (54.2%) | loss: 0.2154 | dt: 359ms | remaining: 137s   
step 00450 (54.3%) | loss: 0.2136 | dt: 390ms | remaining: 137s   
step 00451 (54.5%) | loss: 0.2111 | dt: 339ms | remaining: 137s   
step 00452 (54.6%) | loss: 0.2079 | dt: 348ms | remaining: 136s   
step 00453 (54.7%) | loss: 0.2039 | dt: 434ms | remaining: 136s   
step 00454 (54.9%) | loss: 0.2022 | dt: 514ms | remaining: 135s   
step 00455 (55.0%) | loss: 0.2030 | dt: 368ms | remaining: 135s   
step 00456 (55.2%) | loss: 0.2016 | dt: 439ms | remaining: 135s   
step 00457 (55.3%) | loss: 0.1980 | dt: 350ms | remaining: 134s   
step 00458 (55.4%) | loss: 0.1954 | dt: 401ms | remaining: 134s   
step 00459 (55.5%) | loss: 0.1945 | dt: 369ms | remaining: 133s   
step 00460 (55.7%) | loss: 0.1961 | dt: 405ms | remaining: 133s   
step 00461 (55.8%) | loss: 0.1963 | dt: 315ms | remaining: 133s   
step 00462 (55.9%) | loss: 0.1972 | dt: 409ms | remaining: 132s   
step 00463 (56.0%) | loss: 0.1966 | dt: 428ms | remaining: 132s   
step 00464 (56.2%) | loss: 0.1997 | dt: 434ms | remaining: 131s   
step 00465 (56.3%) | loss: 0.1974 | dt: 374ms | remaining: 131s   
step 00466 (56.4%) | loss: 0.1978 | dt: 360ms | remaining: 131s   
step 00467 (56.6%) | loss: 0.1996 | dt: 345ms | remaining: 130s   
step 00468 (56.7%) | loss: 0.2003 | dt: 426ms | remaining: 130s   
step 00469 (56.8%) | loss: 0.1997 | dt: 408ms | remaining: 130s   
step 00470 (57.0%) | loss: 0.1997 | dt: 364ms | remaining: 129s   
step 00471 (57.1%) | loss: 0.2064 | dt: 437ms | remaining: 129s   
step 00472 (57.2%) | loss: 0.2040 | dt: 264ms | remaining: 128s   
step 00473 (57.3%) | loss: 0.2042 | dt: 355ms | remaining: 128s   
step 00474 (57.4%) | loss: 0.2064 | dt: 434ms | remaining: 128s   
step 00475 (57.6%) | loss: 0.2042 | dt: 349ms | remaining: 127s   
step 00476 (57.7%) | loss: 0.2074 | dt: 343ms | remaining: 127s   
step 00477 (57.8%) | loss: 0.2093 | dt: 351ms | remaining: 127s   
step 00478 (57.9%) | loss: 0.2072 | dt: 342ms | remaining: 126s   
step 00479 (58.1%) | loss: 0.2053 | dt: 436ms | remaining: 126s   
step 00480 (58.2%) | loss: 0.2072 | dt: 425ms | remaining: 125s   
step 00481 (58.3%) | loss: 0.2045 | dt: 349ms | remaining: 125s   
step 00482 (58.5%) | loss: 0.2014 | dt: 421ms | remaining: 125s   
step 00483 (58.6%) | loss: 0.2014 | dt: 378ms | remaining: 124s   
step 00484 (58.7%) | loss: 0.1994 | dt: 414ms | remaining: 124s   
step 00485 (58.8%) | loss: 0.1981 | dt: 350ms | remaining: 123s   
step 00486 (59.0%) | loss: 0.1965 | dt: 401ms | remaining: 123s   
step 00487 (59.1%) | loss: 0.2048 | dt: 450ms | remaining: 123s   
step 00488 (59.2%) | loss: 0.2036 | dt: 341ms | remaining: 122s   
step 00489 (59.3%) | loss: 0.2157 | dt: 336ms | remaining: 122s   
step 00490 (59.5%) | loss: 0.2193 | dt: 393ms | remaining: 122s   
step 00491 (59.6%) | loss: 0.2203 | dt: 396ms | remaining: 121s   
step 00492 (59.7%) | loss: 0.2181 | dt: 342ms | remaining: 121s   
step 00493 (59.9%) | loss: 0.2182 | dt: 404ms | remaining: 120s   
step 00494 (60.0%) | loss: 0.2152 | dt: 394ms | remaining: 120s   
step 00495 (60.1%) | loss: 0.2135 | dt: 350ms | remaining: 120s   
step 00496 (60.2%) | loss: 0.2198 | dt: 337ms | remaining: 119s   
step 00497 (60.3%) | loss: 0.2162 | dt: 398ms | remaining: 119s   
step 00498 (60.5%) | loss: 0.2150 | dt: 404ms | remaining: 119s   
step 00499 (60.6%) | loss: 0.2117 | dt: 411ms | remaining: 118s   
step 00500 (60.8%) | loss: 0.2173 | dt: 407ms | remaining: 118s   
step 00501 (60.9%) | loss: 0.2144 | dt: 313ms | remaining: 117s   
step 00502 (61.0%) | loss: 0.2133 | dt: 337ms | remaining: 117s   
step 00503 (61.1%) | loss: 0.2152 | dt: 334ms | remaining: 117s   
step 00504 (61.2%) | loss: 0.2201 | dt: 409ms | remaining: 116s   
step 00505 (61.3%) | loss: 0.2185 | dt: 340ms | remaining: 116s   
step 00506 (61.5%) | loss: 0.2190 | dt: 373ms | remaining: 116s   
step 00507 (61.6%) | loss: 0.2170 | dt: 362ms | remaining: 115s   
step 00508 (61.7%) | loss: 0.2159 | dt: 321ms | remaining: 115s   
step 00509 (61.8%) | loss: 0.2145 | dt: 418ms | remaining: 115s   
step 00510 (61.9%) | loss: 0.2115 | dt: 316ms | remaining: 114s   
step 00511 (62.0%) | loss: 0.2106 | dt: 333ms | remaining: 114s   
step 00512 (62.2%) | loss: 0.2173 | dt: 342ms | remaining: 114s   
step 00513 (62.3%) | loss: 0.2143 | dt: 415ms | remaining: 113s   
step 00514 (62.4%) | loss: 0.2181 | dt: 360ms | remaining: 113s   
step 00515 (62.5%) | loss: 0.2182 | dt: 324ms | remaining: 112s   
step 00516 (62.6%) | loss: 0.2164 | dt: 379ms | remaining: 112s   
step 00517 (62.8%) | loss: 0.2150 | dt: 347ms | remaining: 112s   
step 00518 (62.9%) | loss: 0.2127 | dt: 325ms | remaining: 111s   
step 00519 (63.0%) | loss: 0.2119 | dt: 442ms | remaining: 111s   
step 00520 (63.1%) | loss: 0.2106 | dt: 336ms | remaining: 111s   
step 00521 (63.2%) | loss: 0.2080 | dt: 337ms | remaining: 110s   
step 00522 (63.4%) | loss: 0.2058 | dt: 383ms | remaining: 110s   
step 00523 (63.5%) | loss: 0.2061 | dt: 317ms | remaining: 110s   
step 00524 (63.6%) | loss: 0.2067 | dt: 278ms | remaining: 109s   
step 00525 (63.7%) | loss: 0.2125 | dt: 299ms | remaining: 109s   
step 00526 (63.8%) | loss: 0.2092 | dt: 385ms | remaining: 109s   
step 00527 (63.9%) | loss: 0.2088 | dt: 307ms | remaining: 108s   
step 00528 (64.0%) | loss: 0.2140 | dt: 320ms | remaining: 108s   
step 00529 (64.1%) | loss: 0.2101 | dt: 332ms | remaining: 108s   
step 00530 (64.2%) | loss: 0.2073 | dt: 367ms | remaining: 107s   
step 00531 (64.4%) | loss: 0.2052 | dt: 391ms | remaining: 107s   
step 00532 (64.5%) | loss: 0.2064 | dt: 346ms | remaining: 107s   
step 00533 (64.6%) | loss: 0.2043 | dt: 427ms | remaining: 106s   
step 00534 (64.7%) | loss: 0.2054 | dt: 289ms | remaining: 106s   
step 00535 (64.9%) | loss: 0.2013 | dt: 434ms | remaining: 105s   
step 00536 (65.0%) | loss: 0.1981 | dt: 408ms | remaining: 105s   
step 00537 (65.1%) | loss: 0.1974 | dt: 389ms | remaining: 105s   
step 00538 (65.3%) | loss: 0.1934 | dt: 359ms | remaining: 104s   
step 00539 (65.4%) | loss: 0.1919 | dt: 304ms | remaining: 104s   
step 00540 (65.5%) | loss: 0.1905 | dt: 368ms | remaining: 104s   
step 00541 (65.6%) | loss: 0.1883 | dt: 405ms | remaining: 103s   
step 00542 (65.7%) | loss: 0.1873 | dt: 343ms | remaining: 103s   
step 00543 (65.9%) | loss: 0.1871 | dt: 380ms | remaining: 102s   
step 00544 (66.0%) | loss: 0.1921 | dt: 391ms | remaining: 102s   
step 00545 (66.1%) | loss: 0.1950 | dt: 385ms | remaining: 102s   
step 00546 (66.2%) | loss: 0.1964 | dt: 407ms | remaining: 101s   
step 00547 (66.4%) | loss: 0.1929 | dt: 400ms | remaining: 101s   
step 00548 (66.5%) | loss: 0.1991 | dt: 319ms | remaining: 101s   
step 00549 (66.6%) | loss: 0.1950 | dt: 272ms | remaining: 100s   
step 00550 (66.7%) | loss: 0.1952 | dt: 367ms | remaining: 100s   
step 00551 (66.8%) | loss: 0.1952 | dt: 356ms | remaining: 100s   
step 00552 (67.0%) | loss: 0.1999 | dt: 416ms | remaining: 99s   
step 00553 (67.1%) | loss: 0.1975 | dt: 359ms | remaining: 99s   
step 00554 (67.2%) | loss: 0.1957 | dt: 366ms | remaining: 98s   
step 00555 (67.3%) | loss: 0.1946 | dt: 420ms | remaining: 98s   
step 00556 (67.5%) | loss: 0.1993 | dt: 407ms | remaining: 98s   
step 00557 (67.6%) | loss: 0.1964 | dt: 327ms | remaining: 97s   
step 00558 (67.8%) | loss: 0.2027 | dt: 517ms | remaining: 97s   
step 00559 (67.9%) | loss: 0.2053 | dt: 347ms | remaining: 96s   
step 00560 (68.0%) | loss: 0.2013 | dt: 341ms | remaining: 96s   
step 00561 (68.1%) | loss: 0.1989 | dt: 319ms | remaining: 96s   
step 00562 (68.2%) | loss: 0.2009 | dt: 284ms | remaining: 95s   
step 00563 (68.3%) | loss: 0.1992 | dt: 398ms | remaining: 95s   
step 00564 (68.5%) | loss: 0.1975 | dt: 398ms | remaining: 95s   
step 00565 (68.6%) | loss: 0.1965 | dt: 382ms | remaining: 94s   
step 00566 (68.7%) | loss: 0.1965 | dt: 416ms | remaining: 94s   
step 00567 (68.8%) | loss: 0.2082 | dt: 331ms | remaining: 94s   
step 00568 (69.0%) | loss: 0.2057 | dt: 432ms | remaining: 93s   
step 00569 (69.1%) | loss: 0.2061 | dt: 334ms | remaining: 93s   
step 00570 (69.2%) | loss: 0.2042 | dt: 312ms | remaining: 92s   
step 00571 (69.3%) | loss: 0.2029 | dt: 358ms | remaining: 92s   
step 00572 (69.4%) | loss: 0.2019 | dt: 409ms | remaining: 92s   
step 00573 (69.6%) | loss: 0.2009 | dt: 320ms | remaining: 91s   
step 00574 (69.7%) | loss: 0.2040 | dt: 402ms | remaining: 91s   
step 00575 (69.8%) | loss: 0.2057 | dt: 330ms | remaining: 91s   
step 00576 (69.9%) | loss: 0.2096 | dt: 257ms | remaining: 90s   
step 00577 (70.0%) | loss: 0.2110 | dt: 359ms | remaining: 90s   
step 00578 (70.1%) | loss: 0.2101 | dt: 351ms | remaining: 90s   
step 00579 (70.2%) | loss: 0.2126 | dt: 334ms | remaining: 89s   
